method,run_id,started_at_iso,finished_at_iso,domain,url_id,url,http_status,status,elapsed_sec,timeout,timeout_sec,retries,size_bytes,notes
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:46:15.144705+00:00,2025-08-26T12:46:15.249967+00:00,,1,Link,0,error:InvalidArgumentException,0.09,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:46:41.851655+00:00,2025-08-26T12:46:46.897255+00:00,www.farfetch.com,2,https://www.farfetch.com/vn/shopping/women/jacquemus-le-bambino-long-shoulder-bag-item-17756159.aspx?storeid=9183,0,error:AttributeError,5.05,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:47:16.249322+00:00,2025-08-26T12:47:19.806746+00:00,www.farfetch.com,3,https://www.farfetch.com/vn/shopping/women/salomon-xt-6-sneakers-item-24318535.aspx?storeid=9158,0,error:AttributeError,3.56,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:47:44.300616+00:00,2025-08-26T12:47:47.754086+00:00,www.farfetch.com,4,https://www.farfetch.com/vn/shopping/women/self-portrait-satin-flower-embellished-mini-dress-item-29302372.aspx?storeid=11935,0,error:AttributeError,3.45,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:48:11.316199+00:00,2025-08-26T12:48:16.686774+00:00,www.farfetch.com,5,https://www.farfetch.com/vn/shopping/women/ami-paris-ami-de-coeur-corduroy-cap-item-20250189.aspx?storeid=9846,0,error:AttributeError,5.36,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:48:44.143729+00:00,2025-08-26T12:48:49.823442+00:00,www.farfetch.com,6,https://www.farfetch.com/vn/shopping/women/jacquemus-le-chiquito-long-tote-bag-item-17819103.aspx?storeid=9053,0,error:AttributeError,5.67,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:49:18.450155+00:00,2025-08-26T12:49:23.845816+00:00,www.farfetch.com,7,https://www.farfetch.com/vn/shopping/women/solace-london-alba-maxi-dress-item-25612611.aspx?storeid=10222,0,error:AttributeError,5.41,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:49:49.635770+00:00,2025-08-26T12:49:54.151259+00:00,www.farfetch.com,8,https://www.farfetch.com/vn/shopping/women/marc-jacobs-the-crystal-denim-sneakers-item-22510295.aspx?storeid=11696,0,error:AttributeError,4.52,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:50:23.337923+00:00,2025-08-26T12:50:30.990578+00:00,www.farfetch.com,9,https://www.farfetch.com/vn/shopping/women/rotate-birger-christensen-lace-puff-sleeve-midi-dress-item-27195303.aspx?storeid=10224,0,error:AttributeError,7.66,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:50:59.242024+00:00,2025-08-26T12:51:04.913838+00:00,www.farfetch.com,10,https://www.farfetch.com/vn/shopping/women/brigitte-bandeau-bikini-set-item-22699860.aspx?storeid=9196,0,error:AttributeError,5.67,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:51:25.253720+00:00,2025-08-26T12:51:31.580552+00:00,www.farfetch.com,11,https://www.farfetch.com/vn/shopping/women/casablanca-monogram-polo-shirt-item-28894894.aspx?storeid=10806,0,error:AttributeError,6.33,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:52:00.464967+00:00,2025-08-26T12:52:16.188879+00:00,www.zara.com,12,https://www.zara.com/us/en/limited-edition-beaded-cord-necklace-p02326800.html,0,error:AttributeError,15.73,1,300,0,0,
scrapy,2025-08-26T12-46-12Z,2025-08-26T12:52:42.828430+00:00,2025-08-26T12:53:04.772883+00:00,www.zara.com,13,https://www.zara.com/us/en/striped-limited-edition-bikini-top-p02910221.html,0,error:AttributeError,21.94,1,300,0,0,
