domain,page_url,method,link_url,is_product,auto_is_product
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/16arlington-cie-leather-jacket-item-31046365.aspx?storeid=13537,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/essentiel-antwerp-izi-pressed-creases-trousers-item-31780059.aspx?storeid=16913,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/prada-lace-up-shirt-item-31283951.aspx?storeid=12113,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/prada-check-pattern-wool-mini-skirt-item-31283950.aspx?storeid=12113,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/ferragamo-cowl-neck-lace-insert-midi-dress-item-30971109.aspx?storeid=12704,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/missoni-zigzag-halterneck-mini-dress-item-30936142.aspx?storeid=14682,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/prada-adjustable-ribbed-knit-top-item-31470291.aspx?storeid=12113,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/proenza-schouler-hallie-asymmetric-neckline-plaid-dress-item-30145044.aspx?storeid=9531,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/marant-etoile-sandrina-wrap-midi-dress-item-31398528.aspx?storeid=16904,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/oscar-de-la-renta-floral-print-belted-dress-item-31097156.aspx?storeid=10351,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/the-new-arrivals-ilkyaz-ozel-persephone-dress-item-29731630.aspx?storeid=13537,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/johanna-ortiz-geometric-print-wrap-maxi-dress-item-30639600.aspx?storeid=9535,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/alemais-graphic-pattern-silk-blouse-item-31596533.aspx?storeid=9531,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/loewe-anagram-embroidered-jeans-item-31306117.aspx?storeid=9462,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/ami-paris-checked-double-breasted-blazer-item-30650843.aspx?storeid=9847,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/ami-paris-elasticated-wool-trousers-item-30650789.aspx?storeid=9846,1,1
farfetch,https://www.farfetch.com/vn/shopping/women/clothing-1/items.aspx,aca_apa,https://www.farfetch.com/vn/shopping/women/ana-radu-off-the-shoulder-draped-dress-item-31705946.aspx?storeid=9421,1,1
